name,longitude,latitude
鄂城区,114.89523244558471,30.333364862300186
龙里县,106.98503278234318,26.502913558667792
华容区,114.71435617378002,30.484104562892824
梁子湖区,114.61718796228166,30.17080913037112
光明区,113.92690817288317,22.765971109385312
高陵区,109.06090366806264,34.50860705572627
三都水族自治县,107.9461632523417,25.84852847388471
坪山区,114.35734610996391,22.69115102924091
鄠邑区,108.58078239334766,33.998918072427415
惠水县,106.7120369708487,25.97962940845903
临潼区,109.28281860296781,34.458117235603396
长安区,108.93028424450522,34.036855508405765
雁塔区,108.92831250480167,34.212032173823786
阎良区,109.29216345282356,34.65936736318175
河口瑶族自治县,103.81449705428577,22.78660353886185
绿春县,102.23766106056634,22.876344497000716
金平苗族瑶族傣族自治县,103.09425907994056,22.780560626800774
隆安县,107.68478539207572,23.105539138062984
上林县,108.63510671657127,23.517733606733245
马山县,108.15880480249298,23.66051452339519
前锋区,106.86265615179869,30.53640580174928
龙城区,120.27861854514016,41.55837292046653
双塔区,120.54391993765269,41.57871726076532
华龙区,115.01838572946146,35.750670429543334
广安区,106.69345537335178,30.622460763024108
灞桥区,109.08871713805986,34.30501500606474
未央区,108.90928917045558,34.34342638452423
宾阳县,108.9294259143639,23.164441223777015
宣州区,118.7908464830272,30.94191639274864
北塔区,111.41467312444102,27.251995512979015
恩平市,112.27632496188261,22.23557371530413
鹤山市,112.79099073971821,22.67158205653651
开平市,112.53461156108219,22.373466930110833
汪清县,129.9276034774869,43.53016890958593
莲湖区,108.89733764532318,34.272109978973894
台山市,112.70116225056353,22.031530014555557
新城区,108.98657266028695,34.273127814526816
碑林区,108.95464659242481,34.248197281715385
龙华区,114.03041254681268,22.68688067635062
安图县,128.42378998206794,42.68742509653048
盐田区,114.26591805125256,22.59853083608835
龙岗区,114.33052150456844,22.646501621609673
宝安区,113.85736880844237,22.684960351791656
南山区,113.9377482177826,22.55480347921421
福田区,114.04408830683435,22.548691882710486
罗湖区,114.14332787543601,22.578009306312325
大祥区,111.48126691490444,27.163029534148407
双清区,111.5408319368571,27.245767261444257
迁西县,118.36008224576702,40.23162101513758
滦南县,118.59166809757451,39.45272554439254
乐亭县,118.93191822961667,39.34107744110149
玉田县,117.72568471631048,39.812442713210366
邹平市,117.65930128203081,36.94967994197523
沅江市,112.54850019200245,28.972165941435883
华阴市,110.04167779758022,34.52397547515913
韩城市,110.38515646735492,35.572291279831674
龙川县,115.35107803826199,24.329788859152757
紫金县,115.05241531123471,23.521694305064443
东源县,114.81423564677412,23.929968344290803
